Name,Birthday,Sex,email,Address,Company,Profession,Salary_USD$,foundation_date,city_id,city_name,state_id,state_code,state_name,Funs_club
Justin Graves,1953-03-06,F,it@gmail.com,"34119 Garrett Spring
West Julie, AK 21587",Espinoza and Sons,Adult guidance worker,3904,2019-03-29,119164,Jefferson,1401,MD,Maryland,Alternative Health NYC
Tony Holland,1944-03-09,F,quality@gmail.com,"72475 Martin Village Apt. 623
Morenobury, MA 36660",Gilbert and Sons,Furniture conservator/restorer,4678,2018-10-20,121306,Marshall,1427,VA,Virginia,Alternative Energy Meetup
Angela Hall,1938-06-08,F,accept@gmail.com,"553 Harris Canyon
Shaunchester, SC 54399",Parker PLC,Visual merchandiser,3501,2017-05-16,112431,Blissfield,1426,MI,Michigan,NYC Animal Rights
Brittany Larson,1951-09-19,N,professional@gmail.com,"2075 Wagner Fort
Anitaville, ID 25417",Gutierrez Ltd,Broadcast journalist,2063,2020-01-14,125720,Sainte Genevieve County,1451,MO,Missouri,The New York City Anime Group
Matthew Leblanc,1949-12-19,F,store@gmail.com,"444 Allen Ports
East Tanner, MD 02856",Owens-Jones,"Restaurant manager, fast food",3734,2019-12-20,116198,Essex Fells,1417,NJ,New Jersey,NYC Pit Bull Group
Justin Wilson,1966-09-26,M,investment@gmail.com,"577 Steve Pine
Lake Jennyview, KY 17876","Martinez, Garcia and Morales",Metallurgist,2154,2018-01-20,123229,Oak Bluffs,1433,MA,Massachusetts,NYC International Arabic Language & Culture Club
Paul Pham,1953-01-29,F,require@gmail.com,"5954 Leonard Junction
New Ann, GA 42718",Munoz-Williams,Public affairs consultant,3666,2019-04-14,126705,South Pasadena,1436,FL,Florida,The New York City American Sign Language Meetup Group
Tyler Crawford,1961-02-10,F,space@gmail.com,"667 Diaz Mills
Galvanview, MT 41873",Wells-Lee,Mental health nurse,4108,2020-01-06,116935,Frenchtown,1446,MT,Montana,The New York City Astrology Meetup
Dorothy Young,1961-08-05,N,more@gmail.com,"00706 Daniels Squares
New Nicoleborough, AR 04243",Jones Inc,Recycling officer,3704,2019-09-17,122382,Mount Pleasant,1441,WI,Wisconsin,New York City Atheists Meetings
Tammy Delgado,1961-10-14,N,pay@gmail.com,"39308 Barker Rapids
Robertfort, NV 35539","Johnson, Anderson and Kelley","Lecturer, higher education",1987,2018-02-22,119868,Lake Barcroft,1427,VA,Virginia,The New York City Ayn Rand Group
Joel Gallagher,1949-06-03,N,financial@gmail.com,"9991 Erickson Lodge Suite 880
North Charlesburgh, NM 56001","Barrera, Johnston and Gibson",Barista,2561,2018-06-08,143205,Santa Barbara,1449,PR,Puerto Rico,The New York City Backgammon Meetup Group
Raymond Aguirre,1992-03-10,N,answer@gmail.com,"187 Cohen Springs Apt. 401
Dominicfort, OR 42722","Campbell, Smith and Phillips",Immunologist,4283,2018-02-06,143054,Emajagua,1449,PR,Puerto Rico,The Chicago Backpackers Meetup Group
Evan Jones,1998-09-24,F,service@gmail.com,"6669 Valerie Locks
Ramosfurt, MS 95012",Frank PLC,Medical secretary,2161,2019-07-24,114964,Dade City,1436,FL,Florida,New York City Basenji Meetup
Robert Griffin,1982-02-20,M,hear@gmail.com,"14643 Walsh Center
New Hectorland, OK 24117",Lyons LLC,Dramatherapist,2924,2019-11-08,143226,Vega Alta Municipio,1449,PR,Puerto Rico,The NYC Big Beautiful Fun People Meetup Group
Mary Smith,1964-02-26,M,son@gmail.com,"313 Victor Knolls Suite 167
Walkerport, CO 87154","Ford, Mcmillan and Williamson",Barrister's clerk,3791,2018-06-13,125298,Rockfish,1447,NC,North Carolina,The Beagle Pack!
John Beard,1983-09-19,M,song@gmail.com,"87885 Christopher Club Apt. 797
Jodiview, GA 70108",Richardson-Glover,Exercise physiologist,2934,2019-11-18,119376,Kane,1422,PA,Pennsylvania,NYC Bellydance Meetup!
Nicole Lee,1958-03-14,F,about@gmail.com,"2445 Rogers Junctions Apt. 695
North Shannon, WI 10299",Frey and Sons,Chartered management accountant,4754,2019-08-10,122130,Montgomery,1456,AL,Alabama,The NYC Bipolar Meetup Group
Michael Hernandez,2003-06-15,F,detail@gmail.com,"55102 Gallegos Court Suite 955
New Stacy, NE 53146",Skinner-Evans,Advertising art director,4539,2018-11-25,126491,Slater-Marietta,1443,SC,South Carolina,Chicago Game Lovers
Cheryl Brown,1991-08-22,M,usually@gmail.com,"8906 Cruz Meadow Apt. 901
New Wendyberg, OK 21582",Adams-King,"Education officer, museum",4088,2018-04-07,119834,Lafayette,1440,IN,Indiana,New York City Boardgames & Cardgames Group
Mr. Steven Gray,1973-01-17,M,prove@gmail.com,"91132 Gutierrez Freeway Apt. 207
Morrisfort, MT 33549",Baker-Morgan,Occupational psychologist,4959,2020-01-17,116558,Fleetwood,1422,PA,Pennsylvania,The NYC Bookcrossing Meetup
Savannah Pena,1964-08-11,F,idea@gmail.com,"USCGC Anderson
FPO AA 71983","Snyder, Lynch and Bray",Production engineer,4070,2018-06-10,119883,Lake City,1420,MN,Minnesota,The Chicago Boston Terrier Meetup Group
Crystal Butler,1946-10-30,M,cup@gmail.com,"4175 Brewer Mews Suite 032
Webstershire, OH 98530","Russell, Brown and Frye","Programmer, systems",3364,2018-05-01,116063,Elmwood Park,1417,NJ,New Jersey,"Socialize, Network, and Connect"
Tonya Wilson,1954-10-03,F,interest@gmail.com,"71927 Johnson Forest
East Michael, ND 57103",Carroll-Wright,Communications engineer,4539,2019-10-25,118200,Hazard,1419,KY,Kentucky,Brazilians and Brazilian Culture in NYC Meetup
Judy Cooke,1943-06-18,M,sign@gmail.com,"600 Johnson Village Apt. 183
New Edwardberg, RI 68182",Wall LLC,"Administrator, sports",2977,2018-04-30,114041,Citrus Ridge,1436,FL,Florida,The Chicago Freethinkers Meetup Group
Benjamin Brown,1978-09-11,F,different@gmail.com,"PSC 8060, Box 9712
APO AE 74254",Webb-Woods,Physiotherapist,3795,2017-07-18,127996,Union County,1443,SC,South Carolina,The New York City Brights
Angela Delgado,2002-08-17,F,fly@gmail.com,"PSC 0286, Box 0140
APO AE 65336",Dawson-Sanders,Town planner,3167,2020-04-18,127464,Taylorsville,1430,MS,Mississippi,Big Apple Brits/New York City British Expat Meetup Group
Regina Freeman,1957-10-05,N,must@gmail.com,"557 Fuller Road
Parkerborough, DE 61978","Woods, Norris and Knight",Social worker,1581,2019-04-17,111346,Anna,1425,IL,Illinois,The San Francisco Bay Area British and Irish Social Club
Jeffrey Gaines,1995-11-05,M,imagine@gmail.com,"458 Linda Ville Apt. 115
North Ianfort, HI 02572",Foster Ltd,Research scientist (life sciences),3100,2019-10-21,115598,Eagle,1460,ID,Idaho,The Chicago Expat Canadian Meetup Group
Brooke Yu,1983-07-24,F,stock@gmail.com,"4956 Richard Road Apt. 463
New David, ME 59947",Moran-Grimes,Tree surgeon,4331,2017-11-27,116982,Fullerton,1422,PA,Pennsylvania,The New York City Expat Canadian Meetup Group
Barbara Hughes,1984-04-01,F,of@gmail.com,"32630 Brown Parkway
Daniellechester, WV 19763","Jimenez, Phillips and Bowman",Illustrator,3458,2020-03-20,113420,Carmel Valley Village,1416,CA,California,The New York City Casino Gambling Meetup Group
Susan Hansen,2004-05-08,F,beat@gmail.com,"567 Russell Expressway
East Terranceland, AK 47801",Scott-Leach,Land/geomatics surveyor,2615,2019-02-27,123061,North Madison,1440,IN,Indiana,New York City Celiac Disease Meetup
Gabrielle Hardy,1982-11-01,N,military@gmail.com,"PSC 8630, Box 7665
APO AP 93442",Rice-Brooks,Local government officer,4957,2020-02-01,118159,Hawaiian Beaches,1411,HI,Hawaii,The New York City Chihuahua Nation Meetup Group
Brian Bradley,1948-01-01,N,it@gmail.com,"30741 Walker Light
North Gabriel, UT 78721",Clark Group,Quality manager,4927,2017-06-12,124072,Perry,1452,NY,New York,Chicago Chinese Culture
Randall Gonzalez,1938-09-24,N,field@gmail.com,"169 Jacob Circles
Welchtown, NM 68681","Jones, Ramsey and Owens",Education administrator,4273,2017-09-11,126910,Springs,1452,NY,New York,NYC Original Chinese Language & Networking Meetup
Donna Luna MD,1993-12-19,F,prevent@gmail.com,"0378 Evans Inlet Apt. 921
Lake Austin, LA 71529","Schwartz, Wright and Singleton",Barista,4823,2020-02-09,129205,Whitmire,1443,SC,South Carolina,Bay Area Chinese Language Group 
Dean Santana,1994-12-28,N,agent@gmail.com,"USCGC Ortiz
FPO AP 21145","Allen, Lara and Moore","Loss adjuster, chartered",4865,2018-11-28,129537,Woodlawn,1452,NY,New York,NYC Tea & Coffee Lovers
Cole Boyd,1987-06-13,F,rate@gmail.com,"00705 Mitchell Center
South Kenneth, HI 46507",Clarke-May,Counselling psychologist,2438,2019-08-25,120811,Louisville,1455,GA,Georgia,The Chicago Comic Book Meetup Group
Stephanie Pierce,1999-09-19,M,how@gmail.com,"54500 Armstrong Harbors Suite 250
North William, RI 06255","Sellers, Collins and Gonzales","Teacher, special educational needs",2421,2017-06-05,141779,Van Wert County,4851,OH,Ohio,The New York City-STATE-INTL Consultant Meetup Group
Kevin Haney,1992-01-22,N,most@gmail.com,"543 Miles Trafficway
Hawkinsberg, FL 22006",Allen and Sons,Data scientist,4127,2017-08-11,117775,Grymes Hill,1452,NY,New York,NYC Dining + Cooking
Patricia Shea,1993-10-21,M,break@gmail.com,"887 Pamela View Apt. 405
Hardyland, MT 75711",Smith-Webb,"Research officer, political party",3004,2017-10-14,141374,Grove City,4851,OH,Ohio,The New York City Czech and Slovak Meetup Group
Laura Mcguire,1943-06-20,N,girl@gmail.com,"7323 Davis Ferry
West Stephen, AZ 41980","Gardner, Coleman and Brown",Museum education officer,2356,2018-02-02,114919,Cumberland County,1422,PA,Pennsylvania,The New York City Dachshund Meetup Group
Jennifer Brooks,1970-06-06,F,speech@gmail.com,"20438 Julie Hill Apt. 116
Jonathanburgh, DE 47450","Mccarthy, Arnold and Fox",Toxicologist,4016,2019-05-03,111460,Arlington,1455,GA,Georgia,Chicago Anxiety Depression Trauma (CADT)
Ann Flores,2002-09-03,N,hold@gmail.com,"56489 Burnett Port Apt. 450
Lake Aaronside, RI 25570","Scott, Moore and Boyer",Nature conservation officer,1616,2019-09-19,127634,Tichigan,1441,WI,Wisconsin,The New York City Digital Photography Meetup Group
Miguel Davis,1990-05-26,M,security@gmail.com,"8847 Mark Motorway Apt. 793
Jeffreyborough, IA 69894",Nolan and Sons,Immigration officer,4860,2018-04-05,117019,Gaithersburg,1401,MD,Maryland,Chicago Dining Out Meetup (CDO)
Jason Graham,1979-08-09,F,decide@gmail.com,"8942 Black Glens Apt. 986
Lake Carlosberg, WV 54724",Chen-Deleon,Prison officer,3437,2017-09-27,114953,Cypress,1407,TX,Texas,"Food, Beer, Spirits, and Wine Tasting NYC Events and more!"
Emily Anderson,1988-12-11,M,finish@gmail.com,"USNS Smith
FPO AP 40534",Cook PLC,Mechanical engineer,4747,2017-11-14,111126,Albion,1426,MI,Michigan,The Super Cool Dio 2016 Meetup Group
Carly Fernandez,1988-07-28,F,late@gmail.com,"7099 Dunn Rapids
East Joemouth, WV 11653","Garza, Mason and Edwards",Pensions consultant,4799,2017-10-27,141380,Hanover,4851,OH,Ohio,The NYC Diplomacy and Risk Meetup Group
Maria Hayes,1948-04-26,N,there@gmail.com,"19050 Tran Street Suite 156
Katherineport, NV 98621",Woodward-Guzman,Dramatherapist,3651,2018-08-10,123652,Overlea,1401,MD,Maryland,The New York City Divorce Support Meetup Group
Sean Salazar,1979-04-09,N,expert@gmail.com,"3520 Nielsen Roads Suite 564
Wallshire, IL 57254",Short Ltd,Museum/gallery conservator,2165,2018-08-31,116049,Elmendorf Air Force Base,1400,AK,Alaska,The NYC Dungeons & Dragons Meetup Group
Ryan Johnson,2005-02-22,F,upon@gmail.com,"PSC 2688, Box 6270
APO AP 45569",Mcdaniel-Glover,Sales executive,1664,2019-09-11,128849,West Columbia,1407,TX,Texas,The Soul Dreamers Club of New York
Jennifer Hendricks,1996-09-19,N,add@gmail.com,"USNV Ray
FPO AA 73436",Rodriguez-Simmons,Banker,3799,2018-11-13,113027,Bull Run Mountain Estates,1427,VA,Virginia,NYC Freegan Meetup
Tiffany Sullivan,1981-06-25,F,put@gmail.com,"285 Molina Greens Apt. 355
North Terri, TN 14386","Anderson, Wheeler and Flores",Futures trader,2845,2018-05-14,128376,Waldport,1415,OR,Oregon,"NYC Showtime: Discount Concerts,Theater, Shows, and more"
Travis Rivera,1998-02-03,F,so@gmail.com,"153 Lara Ports
South Sandra, ME 16589",Scott-Smith,Production manager,2031,2018-11-25,129496,Woodbine,1459,IA,Iowa,Energy Healers NYC
Jaime Acosta,1987-03-26,M,American@gmail.com,"63921 Nguyen Coves
North Mark, PA 11874",Morrison Ltd,Research scientist (medical),1942,2018-05-16,124272,Pinson,1456,AL,Alabama,The Chicago English Bulldog Meetup Group
Billy Lamb,1942-09-08,M,course@gmail.com,"582 Logan Courts
Sullivanport, SD 92884",Gomez-Hoffman,Printmaker,4778,2018-08-02,129100,Weymouth,1433,MA,Massachusetts,The San Francisco English Bulldog Meetup Group
Kimberly Winters,1973-04-02,N,after@gmail.com,"05192 Alicia Drive
Patrickton, WV 46871",White-Hughes,"Psychologist, clinical",4278,2018-10-07,112251,Berrien Springs,1426,MI,Michigan,The New York Enneagram of Personality Meetup Group
Rachel Perez,1955-10-29,M,kind@gmail.com,"250 Jeanette Lodge Apt. 207
Lake Sharonburgh, DE 36017","Hernandez, Leonard and Malone","Administrator, education",4315,2017-09-05,127599,Thorndale,1422,PA,Pennsylvania,The New York City Entrepreneur Meetup Group
Brandi Beard,1960-10-16,N,back@gmail.com,"375 Bridges Oval
Bridgeschester, MS 89588",Terrell-Joseph,"Psychologist, forensic",4149,2019-04-29,127693,Todd County,1420,MN,Minnesota,Entrepreneurs & VCs
Amanda Vaughn,1956-11-10,N,because@gmail.com,"1457 Wells Garden Suite 980
Ashleyview, NM 25324","Murillo, Christian and Blanchard",Historic buildings inspector/conservation officer,2931,2018-03-19,113510,Casa Grande,1434,AZ,Arizona,SUCCESS! An Entrepreneurial Meetup Group
Joseph Velazquez,1957-09-01,N,according@gmail.com,"Unit 6407 Box 9715
DPO AA 15854",Macdonald LLC,Mining engineer,2645,2017-07-02,128409,Wallis,1407,TX,Texas,The New York City Environmental Meetup Group
Erik Odonnell,1992-04-21,F,lay@gmail.com,"Unit 6488 Box 8702
DPO AA 55210","Cervantes, Good and Ford",Media buyer,3736,2017-11-14,117091,Garland County,1444,AR,Arkansas,"ESL ENGLISH COFFEE, CONVERSATION & FRIENDSHIP CHICAGO MEETUP"
Sean Gill,1959-02-09,N,issue@gmail.com,"089 Lisa Bypass Suite 450
South Thomas, PA 90755",Williams Ltd,Copy,2127,2018-05-08,127971,Union,1419,KY,Kentucky,The Chicago Ex-Jehovah's Witnesses Meetup Group
Brandon Collins,1984-06-21,M,effort@gmail.com,"209 Archer Path
Rachaelstad, MI 75465","Castillo, Young and Perry",Mining engineer,2043,2020-01-24,121203,Marengo County,1456,AL,Alabama,The New York City Expat Meetup Group
Stephanie Foster,1939-05-13,M,window@gmail.com,"Unit 5534 Box 6200
DPO AE 69813","Benjamin, Hampton and Pope",Community pharmacist,4375,2017-08-26,112228,Berkeley Springs,1429,WV,West Virginia,New York City German Culture Group
Ryan Copeland,1961-11-02,F,surface@gmail.com,"518 Cook Island Apt. 346
Bowmanhaven, OH 88969",Rojas-Brown,Mudlogger,3963,2020-03-16,121458,Maywood,1417,NJ,New Jersey,The New York City ME/CFS &  Fibromyalgia  Meetup
Aaron Porter,1983-08-17,F,say@gmail.com,"3867 Susan Street
Lake Kim, IN 98591",Porter and Sons,Consulting civil engineer,3192,2019-08-11,122458,Mulino,1415,OR,Oregon,Chicago Firefly/Serenity Meetup
Justin Brown,1966-02-22,M,arm@gmail.com,"80949 Brown Pass Suite 057
Lake Lindafurt, VT 59328",Vargas-Allen,Hydrologist,4096,2018-12-19,117622,Greenburgh,1452,NY,New York,The New York City Foreign Service Meetup Group
Michael Weiss,1964-12-17,F,than@gmail.com,"8977 Joel Throughway Suite 887
Bruceville, WA 59195",Cunningham PLC,Banker,4781,2019-04-13,126095,Searles Valley,1416,CA,California,The San Francisco Formula 1 Meetup Group
Brittany Alvarez,1954-01-12,N,put@gmail.com,"2098 Joshua Mill
Port Toni, MA 64348",Garrett Group,Environmental education officer,4138,2019-10-19,111529,Ashland,1451,MO,Missouri,The Tri-State Fotolog Meetup Group
Michael Jimenez,2003-12-07,F,measure@gmail.com,"668 Holly Point
Jodichester, DC 29717",Hatfield-Mooney,"Scientist, biomedical",2163,2017-05-21,119565,Kimball,1454,TN,Tennessee,The New York City Freemasons & Eastern Star Meetup Group
Brandon Stanley,1941-10-28,F,add@gmail.com,"469 Aguilar Rapids Apt. 313
Lake Jason, ME 46188",Sanchez PLC,Geographical information systems officer,4313,2019-07-29,121599,Mediapolis,1459,IA,Iowa,The Chicago French Language Meetup Group
Cindy White,1968-09-15,M,school@gmail.com,"46125 Anthony Streets Suite 660
Chelseafort, AZ 74625","Day, Cole and Bailey",Recruitment consultant,4467,2019-02-11,116489,Ferndale,1416,CA,California,original new york french meetup
Caroline Martinez,1940-04-17,N,but@gmail.com,"Unit 9232 Box 9819
DPO AE 88266",Jackson Group,Neurosurgeon,4498,2018-09-05,118196,Hayward,1441,WI,Wisconsin,LES AMI(E)S FRANCOPHONES DE SAN FRANCISCO
Stephen Hall,1972-06-19,M,left@gmail.com,"7758 Norton Villages Suite 232
Myersport, OH 50666","Schaefer, Dunlap and Garza",Wellsite geologist,3005,2019-03-18,122563,Narberth,1422,PA,Pennsylvania,The Chicago Professionals Meetup
Sara Logan,1982-10-15,M,court@gmail.com,"30435 Bradley Orchard Apt. 696
Georgetown, NH 05796",Terrell Ltd,Location manager,4427,2018-06-10,119139,Jasper,1444,AR,Arkansas,FRENCH BULLDOG NYC
Sharon Gutierrez,2002-06-28,M,over@gmail.com,"823 Elliott Spur Apt. 311
North Karenbury, SC 41786",Myers-Williamson,Corporate investment banker,4338,2019-09-21,128450,Wanatah,1440,IN,Indiana,IGDA NYC
Dominic Sanchez,1953-10-02,F,few@gmail.com,"90213 Emily Islands
West Michaelshire, VT 16212",Vang Group,Administrator,4724,2019-10-21,114743,Covington County,1430,MS,Mississippi,San Franciso Game Development Meetup Group
David Nguyen,1940-06-06,F,wonder@gmail.com,"Unit 0156 Box 5942
DPO AP 97054",Schneider Inc,Biomedical engineer,2419,2018-10-02,113088,Burns Flat,1421,OK,Oklahoma,The Chicago German Language Meetup Group
Edwin White,2003-04-26,F,reflect@gmail.com,"231 Joseph Walks
Melissafurt, NV 03535","Tran, Petty and Nelson",Midwife,4263,2017-09-08,124094,Perth Amboy,1417,NJ,New Jersey,Flourishing Life Meetup
